example_type,scan_date,symbol,trade_bucket,source_bucket,reason_codes,kumo_rank_by_score,kumo_score,george_rank,george_watchlist_rank,best_entry_assumption,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_deployable_exit_policy_id,best_deployable_total_equity_ret_40d_pct,model_combined_score
kumo_addition_optimal,2025-09-10,PL,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,62.0,8.0,,,next_open,70.8237,82.5898,-0.6529,swinglow3_after8,60.827,0.8509385374767524
kumo_addition_optimal,2025-09-11,APLD,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,45.0,8.0,,,next_open,66.1089,70.9236,-1.6306,time10_lt2_hard6,77.5941,0.6936526531217075
kumo_addition_optimal,2025-09-11,LEU,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,78.0,8.0,,,next_open,68.8377,76.7394,-0.1952,time10_lt2_hard6,25.3892,0.5757781351873696
kumo_addition_optimal,2025-09-11,PL,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,79.0,8.0,,,pullback_1pct_reclaim,62.1622,74.4283,-1.4033,swinglow3_after8,53.6383,1.274499181098168
video_context_optimal,2025-09-11,GS,optimal,kumo_with_george_video_context,realistic_entry_triggered;target4_before_stop2;normal_winner,17.0,8.0,7.0,,next_open,-0.1914,5.3287,-1.5507,fixed_t4_s2,4.0,-0.1579610343844827
video_context_optimal,2025-09-11,MS,optimal,kumo_with_george_video_context,realistic_entry_triggered;target4_before_stop2;normal_winner,22.0,8.0,8.0,,next_open,0.1442,5.0819,-1.4963,fixed_t8_s4,4.7454,0.0093075587297699
kumo_addition_optimal,2025-09-12,APLD,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,38.0,8.0,,,next_open,76.7077,104.4999,-2.3816,time10_lt2_hard6,63.0892,0.844668392702673
kumo_addition_optimal,2025-09-12,INOD,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,87.0,8.0,,,next_open,31.7617,48.4851,-3.9633,giveback35_after8,10.8856,0.9336950184183944
kumo_addition_optimal,2025-09-12,IREN,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,32.0,8.0,,,prior_session_high_breakout,73.4215,101.4958,-1.7546,time10_lt2_hard6,80.1812,0.2936555033799874
kumo_addition_optimal,2025-09-15,IONQ,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,20.0,8.0,,,next_open,39.115,43.5063,-3.1346,swinglow3_after8,13.4452,0.9037108732688116
kumo_addition_optimal,2025-09-15,QBTS,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,45.0,8.0,,,next_open,120.898,128.4082,-2.585,time10_lt2_hard6,60.7619,0.4444961663341472
