example_type,scan_date,symbol,trade_bucket,model_score_name,model_score_value,kumo_rank_by_score,kumo_score,baseline_rank,model_rank,rank_delta,model_492_combined_score,model_492_optimal_score,model_492_bad_risk_score,prior_467_combined_score,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_deployable_total_equity_ret_40d_pct,reason_codes,company_sector,company_industry,sector_category,sector_etf_proxy
optimal_model_promoted_optimal,2026-01-07,ESLT,optimal,model_492_optimal_score,0.2476830758467244,97.0,8.0,97,4,93,0.5071959418385834,0.2476830758467244,-0.259512865991859,-0.321377569698249,2.0774,12.1463,-0.0151,41.7428,realistic_entry_triggered;mfe20_ge_8;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2025-11-11,GILD,optimal,model_492_optimal_score,0.3523545567606684,98.0,7.0,98,5,93,0.10688816134446316,0.3523545567606684,0.24546639541620524,0.6363384137541391,-0.866,5.1471,-2.9616,4.0,realistic_entry_triggered;target4_before_stop2;normal_winner,Healthcare,Drug Manufacturers - General,Healthcare,XLV
optimal_model_promoted_optimal,2025-11-10,AKAM,optimal,model_492_optimal_score,0.29978807240197897,98.0,7.0,98,5,93,0.44862868792811395,0.29978807240197897,-0.148840615526135,0.3426661421092246,-1.6789,5.7958,-5.4508,4.0,realistic_entry_triggered;target4_before_stop2;normal_winner,Technology,Software - Infrastructure,SaaS/Cloud,XLK
optimal_model_promoted_optimal,2026-02-02,VOD,optimal,model_492_optimal_score,0.23183114295888682,97.0,8.0,97,4,93,0.2981665243630246,0.23183114295888682,-0.06633538140413778,0.6405530765216361,-0.8,6.0667,-3.0,4.0,realistic_entry_triggered;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2025-11-17,ARQT,optimal,model_492_optimal_score,0.2789702183421401,99.0,7.0,99,6,93,0.21023425757764808,0.2789702183421401,0.06873596076449201,0.6516852571716317,10.2822,22.8063,-1.237,16.9308,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,,,,
optimal_model_promoted_optimal,2026-02-02,VPL,optimal,model_492_optimal_score,0.24387787931227195,95.0,8.0,95,3,92,0.35168679811271697,0.24387787931227195,-0.107808918800445,0.1829369031869082,1.9938,9.5682,-1.2023,8.0,realistic_entry_triggered;mfe20_ge_8;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2025-12-31,JBL,optimal,model_492_optimal_score,0.29035932556736493,97.0,7.0,97,5,92,0.13372016779377952,0.29035932556736493,0.15663915777358542,0.2479883080658407,2.5509,11.5699,-7.0431,4.0,realistic_entry_triggered;mfe20_ge_8;target4_before_stop2;normal_winner,Technology,Electronic Components,Tech,XLK
optimal_model_promoted_optimal,2026-01-14,PHYS,optimal,model_492_optimal_score,0.1923462869632698,97.0,8.0,97,5,92,0.2692112537440383,0.1923462869632698,-0.07686496678076848,0.4622370791093472,5.0944,19.653,-3.1567,10.6115,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,,,,
optimal_model_promoted_optimal,2025-09-24,UI,optimal,model_492_optimal_score,0.2856279760928121,95.0,8.0,95,3,92,0.315056142811489,0.2856279760928121,-0.02942816671867693,0.2963901129236141,10.0283,23.1581,-0.8561,8.6527,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,,,,
optimal_model_promoted_optimal,2026-03-18,KMI,optimal,model_492_optimal_score,0.6607799937406784,93.0,6.0,93,1,92,1.4008183837289871,0.6607799937406784,-0.7400383899883087,0.1709452849390551,-3.0802,5.9042,-4.3611,4.0,realistic_entry_triggered;target4_before_stop2;normal_winner,Energy,Oil & Gas Midstream,Energy,XLE
optimal_model_promoted_optimal,2025-12-09,STX,optimal,model_492_optimal_score,0.23773381608366279,99.0,7.0,99,7,92,0.33006411054440504,0.23773381608366279,-0.09233029446074224,-0.0215048015937222,-0.4817,17.025,-3.3239,8.0,realistic_entry_triggered;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,Technology,Computer Hardware,Tech,XLK
optimal_model_promoted_optimal,2026-03-05,WELL,optimal,model_492_optimal_score,0.48559091295077644,93.0,6.0,93,1,92,0.38800127599781964,0.48559091295077644,0.09758963695295678,0.0905516356766747,0.0049,6.0466,-4.7746,7.2113,realistic_entry_triggered;target4_before_stop2;normal_winner,Real Estate,REIT - Healthcare Facilities,Real Estate,XLRE
optimal_model_promoted_optimal,2025-11-17,AXSM,optimal,model_492_optimal_score,0.2957281406957073,96.0,7.0,96,4,92,0.20114391136868814,0.2957281406957073,0.09458422932701914,0.3553996025285523,1.0249,5.2002,-2.5382,10.3448,realistic_entry_triggered;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2025-09-08,FNV,optimal,model_492_optimal_score,0.2666834575793619,94.0,8.0,94,3,91,0.4935696678552093,0.2666834575793619,-0.22688621027584738,0.1192280907364634,12.1517,14.1011,-0.976,8.0,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,,,,
optimal_model_promoted_optimal,2025-09-09,RGLD,optimal,model_492_optimal_score,0.30386344045597913,92.0,8.0,92,1,91,0.2951313595657321,0.30386344045597913,0.008732080890247018,0.3236085387060647,6.788,11.4779,-0.9817,8.0,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2026-02-26,SHEL,optimal,model_492_optimal_score,0.18568174082957178,96.0,7.0,96,5,91,0.15866329353943337,0.18568174082957178,0.027018447290138414,0.3029173544887861,11.3447,12.2991,-1.48,9.8949,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,,,,
optimal_model_promoted_optimal,2025-07-21,ALLE,optimal,model_492_optimal_score,0.32169377952472294,95.0,8.0,95,4,91,0.23208720072191547,0.32169377952472294,0.08960657880280747,-0.2073432903654026,11.705,13.6491,0.0,18.279,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,Industrials,Security & Protection Services,Industrials,XLI
optimal_model_promoted_optimal,2025-09-10,SIL,optimal,model_492_optimal_score,0.23073342669213637,95.0,8.0,95,4,91,0.4970592532056967,0.23073342669213637,-0.26632582651356035,0.2348889149177769,15.9636,16.0107,-2.0386,10.2268,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,,,,
optimal_model_promoted_optimal,2025-10-17,JCI,optimal,model_492_optimal_score,0.3834629159350955,96.0,7.0,96,5,91,0.38353659698789194,0.3834629159350955,-7.3681052796426e-05,0.1699028623750069,8.0648,12.6707,-1.8433,10.4497,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;normal_winner,Industrials,Building Products & Equipment,Industrials,XLI
optimal_model_promoted_optimal,2025-12-22,MU,optimal,model_492_optimal_score,0.2960616644873702,94.0,7.0,94,3,91,0.37358519301753595,0.2960616644873702,-0.07752352853016575,0.1371299669610993,43.4003,44.165,-1.3047,55.1645,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,Technology,Semiconductors,AI/Semis,XLK
optimal_model_promoted_optimal,2025-09-11,MCHI,optimal,model_492_optimal_score,0.18432098179581874,99.0,8.0,99,8,91,0.35575287107867426,0.18432098179581874,-0.17143188928285555,0.376707273090498,1.6071,5.1178,-0.816,4.0,realistic_entry_triggered;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2025-11-20,MMM,optimal,model_492_optimal_score,0.28817550443379614,97.0,6.0,97,6,91,0.19925111562245384,0.28817550443379614,0.0889243888113423,-0.0151666109949277,-2.0561,5.6422,-2.6298,4.0,realistic_entry_triggered;target4_before_stop2;normal_winner,Industrials,Conglomerates,Industrials,XLI
optimal_model_promoted_optimal,2026-01-27,ERIC,optimal,model_492_optimal_score,0.23351942480007923,94.0,8.0,94,3,91,0.1882754438020759,0.23351942480007923,0.04524398099800332,0.8531738357136167,2.4703,4.1171,-1.7383,8.0,realistic_entry_triggered;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2026-01-23,SU,optimal,model_492_optimal_score,0.20283266070703923,99.0,8.0,99,9,90,0.007295988889160526,0.20283266070703923,0.1955366718178787,0.6464818631939548,9.4127,11.1046,-1.2835,22.8899,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;normal_winner,,,,
optimal_model_promoted_optimal,2026-01-30,KORU,optimal,model_492_optimal_score,0.2367134647146753,98.0,8.0,98,8,90,0.11246101760572204,0.2367134647146753,0.12425244710895327,0.2080524507890208,83.3884,109.5418,-2.239,12.6643,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,,,,
risk_blend_demoted_bad,2026-03-24,LITE,bad,model_492_combined_score,-1.22540696687674,1.0,8.0,1,101,-100,-1.22540696687674,-0.28079701439132265,0.9446099524854175,0.5718269984426501,9.6744,20.6788,-19.2495,-2.0,realistic_entry_triggered;mae20_le_minus8;stop_before_target4_2,Technology,Communication Equipment,Tech,XLK
risk_blend_demoted_bad,2026-03-03,COHR,bad,model_492_combined_score,-1.796398765792953,2.0,8.0,2,102,-100,-1.796398765792953,-0.4839416827458577,1.3124570830470954,0.6900157218258799,-19.4888,1.4926,-27.1261,-2.0,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,Technology,Scientific & Technical Instruments,Tech,XLK
risk_blend_demoted_bad,2026-03-25,LITE,bad,model_492_combined_score,-1.0006103878380441,1.0,8.0,1,100,-99,-1.0006103878380441,-0.19351574614202857,0.8070946416960155,0.4279214928330195,13.3114,28.885,-13.7585,-2.0,realistic_entry_triggered;mae20_le_minus8;stop_before_target4_2,Technology,Communication Equipment,Tech,XLK
risk_blend_demoted_bad,2026-03-20,LITE,bad,model_492_combined_score,-1.8900139660236026,1.0,8.0,1,100,-99,-1.8900139660236026,-0.5106263141303984,1.3793876518932042,0.7902683121848137,19.8258,29.2503,-13.5141,5.5768,realistic_entry_triggered;mae20_le_minus8;stop_before_target4_2,Technology,Communication Equipment,Tech,XLK
risk_blend_demoted_bad,2026-02-05,LITE,bad,model_492_combined_score,-1.798385183820479,1.0,8.0,1,99,-98,-1.798385183820479,-0.46932202144328905,1.3290631623771898,0.4590298914447835,3.4981,45.3148,-4.9481,42.9667,realistic_entry_triggered;stop_before_target4_2,Technology,Communication Equipment,Tech,XLK
risk_blend_demoted_bad,2026-03-19,LITE,bad,model_492_combined_score,-1.0275779806934597,2.0,8.0,2,100,-98,-1.0275779806934597,-0.24726682546061585,0.7803111552328438,0.4439304365491758,13.687,22.2167,-18.2205,-2.0,realistic_entry_triggered;mae20_le_minus8;stop_before_target4_2,Technology,Communication Equipment,Tech,XLK
risk_blend_demoted_bad,2025-12-10,GEV,bad,model_492_combined_score,-0.9242455953116876,1.0,8.0,1,99,-98,-0.9242455953116876,-0.05846130809549603,0.8657842872161916,0.571954039788162,-12.4784,0.0,-13.9357,-2.0,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,Industrials,Specialty Industrial Machinery,Industrials,XLI
risk_blend_demoted_bad,2026-03-16,CF,bad,model_492_combined_score,-1.6946680207611988,2.0,8.0,2,100,-98,-1.6946680207611988,-0.3383769562440835,1.3562910645171153,0.7606175330046336,-3.7346,14.8776,-10.6049,1.0722,realistic_entry_triggered;best_entry_bad_trade;mae20_le_minus8;stop_before_target4_2,Basic Materials,Agricultural Inputs,Materials,XLB
