scan_date,symbol,policy_id,source_tags,kumo_rank_by_score,kumo_score,sector_etf_proxy,label_outcome_20d,true_runner_40d,policy_status,exit_reason,exit_session,realized_ret_pct,open_mtm_ret_40d_pct,total_equity_ret_40d_pct,giveback_from_peak_pct,runner_preserved_40d,runner_cut_early_40d
2025-10-13,ELBM,hold_40d_mtm,kumo_scanner;kumo_top_n,62.0,7.0,,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-83.4405,-83.4405,85.0482,False,False
2025-12-09,OCG,hold_40d_mtm,kumo_scanner;kumo_top_n,100.0,7.0,,bad_trade,True,open_at_horizon,horizon_mtm,,0.0,-81.2587,-81.2587,251.049,True,False
2025-11-19,SGBX,hold_40d_mtm,kumo_scanner;kumo_top_n,38.0,7.0,,bad_trade,True,open_at_horizon,horizon_mtm,,0.0,-79.3003,-79.3003,115.4504,True,False
2025-10-13,GWH,hold_40d_mtm,kumo_scanner;kumo_top_n,60.0,7.0,,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-78.4507,-78.4507,79.5775,False,False
2025-09-16,TURB,hold_40d_mtm,kumo_scanner;kumo_top_n,24.0,8.0,,bad_trade,True,open_at_horizon,horizon_mtm,,0.0,-78.0116,-78.0116,119.7265,True,False
2026-01-28,AGQ,hold_40d_mtm,kumo_scanner;kumo_top_n,6.0,8.0,,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-77.8883,-77.8883,78.3669,False,False
2025-12-08,CETX,hold_40d_mtm,kumo_scanner;kumo_top_n,12.0,8.0,,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-77.1005,-77.1005,84.1845,False,False
2025-05-07,UGL,hold_40d_mtm,kumo_scanner;kumo_top_n,59.0,8.0,,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-75.751,-75.751,76.9348,False,False
2025-09-22,BOXL,hold_40d_mtm,kumo_scanner;kumo_top_n,40.0,8.0,,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-74.0143,-74.0143,76.3,False,False
2026-03-24,VO,hold_40d_mtm,george_scanner_ocr,,,,bad_trade,False,open_at_horizon,horizon_mtm,,0.0,-73.6137,-73.6137,79.299,False,False
