variant_id,symbol,entry_date,exit_date,duration_days,entry_price,exit_price,pnl,return_pct,exit_reason,exit_event
p_only_base,ORCL,2025-02-19,2025-06-13,113.95833333333331,179.26959,201.47827,488.59096000000034,12.388,,
p_only_base,AMD,2025-10-09,2025-10-27,18.0,235.21755,257.752855,428.17079500000045,9.581,,
p_only_base,AMD,2025-06-25,2025-07-16,20.989583333333332,140.49751365,155.2323275,412.57478779999985,10.488,,
p_only_base,TSLA,2025-09-26,2025-10-02,5.996527777777778,429.6297075,470.30694,406.772325,9.468,,
p_only_base,AMD,2025-06-17,2025-06-25,8.0,127.76385,140.86952,406.2757699999997,10.258,,
p_only_base,GOOGL,2025-09-04,2025-09-16,12.0,230.064975,251.95406355,394.00359389999994,9.514,,
p_only_base,TSLA,2025-01-03,2025-01-06,3.0,383.65173,422.9890248,393.3729479999999,10.253,,
p_only_base,ORCL,2025-06-16,2025-07-03,17.0,212.94642,233.1035325,362.8280250000002,9.466,,
p_only_base,AMD,2025-07-16,2025-07-28,12.0,155.4226725,168.99432,352.86283499999956,8.732,,
p_only_base,HD,2025-01-03,2025-01-28,25.0,388.5791925,423.02971,344.50517500000046,8.866,,
p_only_base,NFLX,2025-01-03,2025-01-29,26.0,893.4715125,979.5102175,344.15481999999975,9.63,,
p_only_base,UNH,2025-04-03,2025-04-10,7.0,530.795265,579.93895,344.00579500000003,9.259,,
p_only_base,ABBV,2025-03-11,2025-10-01,204.0,214.5622275,233.5229125,322.33164499999975,8.837,,
target_04_fast_take,ORCL,2025-07-18,2025-09-16,60.0,248.6292525,313.904,1044.3959599999998,26.254,,
target_04_fast_take,AMD,2025-08-14,2025-10-07,54.0,182.6558823,214.74118,737.9618471000003,17.566,,
target_04_fast_take,AMD,2025-10-08,2025-10-09,1.0,212.396145,236.18245,499.51240499999994,11.199,,
target_04_fast_take,AVGO,2025-07-31,2025-09-08,39.0,304.862355,342.5758657,490.2756391000004,12.371,,
target_04_fast_take,ORCL,2025-02-19,2025-06-13,113.95833333333331,179.26959,201.47827,488.59096000000034,12.388,,
target_04_fast_take,GOOGL,2025-10-31,2025-11-24,24.041666666666668,283.951905,310.97252005,432.32984080000006,9.516,,
target_04_fast_take,AMD,2025-10-09,2025-10-27,18.0,235.21755,257.752855,428.17079500000045,9.581,,
target_04_fast_take,NVDA,2025-10-03,2025-10-29,26.0,190.084995,207.874605,409.1610300000002,9.359,,
