variant_id,base_module,scanner_setting,symbol,entry_order_id,entry_time,entry_date,entry_price,quantity,entry_cost,status,decision_rank,allocated_unrealized_est,age_days_to_fy_end
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,NFLX,163,2025-07-02T13:31:00Z,2025-07-02,1296.798075,3.000000,3890.39,open,24.000,-570.42,182
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,MSFT,175,2025-08-01T13:31:00Z,2025-08-01,531.525630,7.000000,3720.68,open,10.000,-569.21,152
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,META,197,2025-08-05T13:31:00Z,2025-08-05,775.522568,5.000000,3877.61,open,6.000,-568.55,148
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,CRM,39,2025-01-29T14:36:00Z,2025-01-29,355.042433,11.000000,3905.47,open,33.000,-567.42,336
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,PG,114,2025-03-05T14:31:00Z,2025-03-05,173.876895,22.000000,3825.29,open,97.000,-560.87,301
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,XOM,81,2025-03-24T14:57:00Z,2025-03-24,116.823382,33.000000,3855.17,open,53.000,-560.12,282
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,V,92,2025-03-03T14:31:00Z,2025-03-03,364.422120,10.000000,3644.22,open,42.000,-557.51,303
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,ORCL,263,2025-10-24T14:02:00Z,2025-10-24,283.051455,16.000000,4528.82,open,12.000,-556.87,68
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,JPM,304,2025-12-30T14:31:00Z,2025-12-30,323.381610,14.000000,4527.34,open,37.000,-556.69,1
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,PG,79,2025-03-05T14:31:00Z,2025-03-05,173.876895,22.000000,3825.29,open,97.000,-555.77,301
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,MRK,295,2025-11-26T14:31:00Z,2025-11-26,104.702325,43.000000,4502.20,open,95.000,-553.60,35
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,NVDA,275,2025-10-30T13:46:00Z,2025-10-30,204.192045,22.000000,4492.22,open,3.000,-552.37,62
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,XOM,121,2025-03-27T13:31:00Z,2025-03-27,117.718830,32.000000,3767.00,open,50.000,-552.33,279
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,HD,35,2025-01-28T14:31:00Z,2025-01-28,420.790290,9.000000,3787.11,open,70.000,-550.23,337
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,HD,43,2025-01-22T14:31:00Z,2025-01-22,415.645919,9.000000,3740.81,open,69.000,-548.49,343
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,AMD,268,2025-10-28T14:42:00Z,2025-10-28,260.500185,17.000000,4428.50,open,4.000,-544.54,64
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,LLY,296,2025-11-26T14:31:00Z,2025-11-26,1103.781715,4.000000,4415.13,open,22.000,-542.89,35
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,AVGO,298,2025-11-28T14:32:00Z,2025-11-28,400.990395,11.000000,4410.89,open,14.000,-542.37,33
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,MSFT,167,2025-08-01T13:31:00Z,2025-08-01,531.525630,7.000000,3720.68,open,10.000,-540.58,152
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,TSLA,302,2025-12-17T15:37:00Z,2025-12-17,486.263010,9.000000,4376.37,open,3.000,-538.13,14
