variant_id,family,hypothesis,config_hash,rc,status,ok,net_profit,drawdown,total_orders,sharpe,trades_csv,orders_csv,exit_events_csv,artifact_error,error,run_dir,result_path
combo_gb_buy005_pos045,combo,Best exit/buy-stop with 4.5% flat sizing.,2e4c209e958e,0,Completed,True,12.838%,20.100%,260,0.602,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos045/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos045/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos045/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos045/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_pos045/fy2025_full/backtests/2026-06-08_18-56-57/1517296792.json
combo_t08_buy005_pos03,combo,8% target/buy-stop with 3% sizing.,823c7ce32464,0,Completed,True,7.858%,13.300%,205,0.511,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_pos03/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_pos03/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_pos03/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_pos03/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_pos03/fy2025_full/backtests/2026-06-08_18-57-45/1613856643.json
combo_minp03_buy005_pos03,combo,Low min-peak/buy-stop with 3% sizing.,9883e520d639,0,Completed,True,8.214%,13.200%,295,0.535,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_pos03/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_pos03/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_pos03/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_pos03/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_pos03/fy2025_full/backtests/2026-06-08_19-12-33/1438418065.json
combo_gb_buy010_pos03,combo,"Best exit, 1% buy-stop, 3% sizing.",bd6db3dfca51,0,Completed,True,7.691%,13.500%,243,0.499,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010_pos03/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010_pos03/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010_pos03/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010_pos03/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010_pos03/fy2025_full/backtests/2026-06-08_19-13-21/1724707488.json
combo_gb_buy005_scratch_tight,combo,Best exit/buy-stop with tight scratch rescue.,74bf16cc0acc,0,Completed,True,8.702%,17.000%,1062,0.452,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_tight/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_tight/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_tight/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_tight/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_tight/fy2025_full/backtests/2026-06-08_19-14-07/1354219903.json
combo_gb_buy005_scratch_1d,combo,Best exit/buy-stop with aggressive 1d low-MFE scratch.,69c699af30ac,0,Completed,True,7.661%,15.600%,1815,0.402,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_1d/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_1d/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_1d/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_1d/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_1d/fy2025_full/backtests/2026-06-08_19-25-38/1553424496.json
combo_gb_buy005_scratch_pat,combo,Best exit/buy-stop with patient scratch.,375746681de3,0,Completed,True,9.318%,16.700%,1204,0.487,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_pat/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_pat/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_pat/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_pat/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_scratch_pat/fy2025_full/backtests/2026-06-08_19-26-35/1650324888.json
combo_t08_buy005_scratch_tight,combo,8% target/buy-stop with tight scratch.,2d0e9b3a9444,0,Completed,True,8.096%,17.500%,906,0.407,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_scratch_tight/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_scratch_tight/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_scratch_tight/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_scratch_tight/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_scratch_tight/fy2025_full/backtests/2026-06-08_19-27-18/1778482657.json
combo_minp03_buy005_scratch_tight,combo,Low min-peak/buy-stop with tight scratch.,323f57832943,0,Completed,True,7.770%,16.800%,997,0.393,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_scratch_tight/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_scratch_tight/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_scratch_tight/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_scratch_tight/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_scratch_tight/fy2025_full/backtests/2026-06-08_19-38-35/1546732083.json
combo_gb_buy005_min7_pos03,combo,"Best exit/buy-stop, min-hold 7d, 3% sizing.",078fc5b0bb3b,0,Completed,True,7.959%,12.900%,260,0.518,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min7_pos03/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min7_pos03/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min7_pos03/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min7_pos03/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_min7_pos03/fy2025_full/backtests/2026-06-08_19-39-56/1371973345.json
combo_gb_buy010_min7_pos03,combo,"Best exit, 1% buy-stop, min-hold 7d, 3% sizing.",f4e3c1ce321a,0,Completed,True,8.200%,12.800%,261,0.535,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010_min7_pos03/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010_min7_pos03/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010_min7_pos03/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010_min7_pos03/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy010_min7_pos03/fy2025_full/backtests/2026-06-08_19-40-38/1908236437.json
combo_t08_buy005_min7,combo,8% target/buy-stop with 7d proactive min-hold.,3b1fcd3ba812,0,Completed,True,10.082%,17.900%,225,0.518,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_min7/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_min7/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_min7/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_min7/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_min7/fy2025_full/backtests/2026-06-08_19-50-48/1557849193.json
combo_minp03_buy005_min7,combo,Low min-peak/buy-stop with 7d proactive min-hold.,2f380e0ebc41,0,Completed,True,10.785%,17.800%,303,0.554,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_min7/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_min7/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_min7/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_min7/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_minp03_buy005_min7/fy2025_full/backtests/2026-06-08_19-53-04/1977442983.json
combo_gb_buy005_atr075_pos03,combo,Best exit/buy-stop with 3% sizing and 0.75 ATR cushion.,7e1adc2a6855,0,Completed,True,8.234%,13.300%,260,0.541,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_atr075_pos03/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_atr075_pos03/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_atr075_pos03/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_atr075_pos03/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_atr075_pos03/fy2025_full/backtests/2026-06-08_19-53-44/1762252040.json
combo_gb_buy005_vol050_cap04,combo,Conservative vol-risk cap with best exit/buy-stop.,5f71a5b9c0a3,0,Completed,True,10.932%,17.700%,260,0.567,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_vol050_cap04/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_vol050_cap04/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_vol050_cap04/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_vol050_cap04/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_vol050_cap04/fy2025_full/backtests/2026-06-08_20-02-49/1264875460.json
combo_gb_buy005_vol075_cap04,combo,0.75% vol-risk capped at 4% with best exit/buy-stop.,38e7efa5cd74,0,Completed,True,10.932%,17.700%,260,0.567,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_vol075_cap04/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_vol075_cap04/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_vol075_cap04/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_vol075_cap04/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_vol075_cap04/fy2025_full/backtests/2026-06-08_20-05-32/1104426518.json
combo_t08_buy005_vol075_cap04,combo,8% target with capped vol-risk and buy-stop.,4c8091ebc552,0,Completed,True,9.856%,17.800%,221,0.509,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_vol075_cap04/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_vol075_cap04/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_vol075_cap04/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_vol075_cap04/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_t08_buy005_vol075_cap04/fy2025_full/backtests/2026-06-08_20-06-13/1790575863.json
combo_gb_buy005_res010,combo,Best exit/buy-stop with looser 1% resistance buffer.,9b3a2f1ff276,0,Completed,True,10.932%,17.700%,260,0.567,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_res010/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_res010/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_res010/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_res010/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_combo_30_cached_storage_w3/combo_gb_buy005_res010/fy2025_full/backtests/2026-06-08_20-16-07/1309701780.json
