variant_id,family,config_hash,result_path,status,symbol,qty,entry_order_id,exit_order_id,entry_time,exit_time,duration_days,entry_price,exit_price,pnl,return_pct,entry_tag,exit_tag,exit_event,exit_reason,censored
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,AVGO,17.0,1,,1736865060.0,,,227.9006934,,,,decision_gap=0.0109&decision_vol=7.197&decision_tdist=0.0000&decision_rank=5,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,JPM,15.0,25,,1737469860.0,,,260.340105,,,,decision_gap=0.0031&decision_vol=5.829&decision_tdist=0.0000&decision_rank=28,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,V,12.0,31,,1738074660.0,,,333.876855,,,,decision_gap=-0.0030&decision_vol=3.388&decision_tdist=0.0000&decision_rank=48,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,XOM,36.0,12,,1736865060.0,,,109.11453,,,,decision_gap=-0.0019&decision_vol=2.902&decision_tdist=0.0000&decision_rank=44,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,ORCL,25.0,13,,1736865060.0,,,155.65028625,,,,decision_gap=0.0109&decision_vol=3.790&decision_tdist=0.0000&decision_rank=63,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,HD,9.0,32,,1738074660.0,,,420.79029,,,,decision_gap=-0.0105&decision_vol=4.867&decision_tdist=0.0000&decision_rank=70,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,MA,7.0,33,,1738074660.0,,,545.4726,,,,decision_gap=-0.0051&decision_vol=3.114&decision_tdist=0.0000&decision_rank=77,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,PG,25.0,16,,1736865060.0,,,158.81937,,,,decision_gap=-0.0007&decision_vol=5.579&decision_tdist=0.0000&decision_rank=93,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,MRK,39.0,17,,1736865060.0,,,100.5552525,,,,decision_gap=-0.0046&decision_vol=5.933&decision_tdist=0.0000&decision_rank=106,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,ABBV,22.0,18,,1736865060.0,,,176.2730925,,,,decision_gap=-0.0033&decision_vol=3.530&decision_tdist=0.0000&decision_rank=134,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,AAPL,16.0,2,,1736865060.0,,,236.007945,,,,decision_gap=0.0064&decision_vol=6.100&decision_tdist=0.0000&decision_rank=4,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,MSFT,9.0,38,,1738161060.0,,,443.0464125,,,,decision_gap=-0.0094&decision_vol=5.233&decision_tdist=0.0000&decision_rank=7,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,AMZN,17.0,39,,1738161060.0,,,237.99283695,,,,decision_gap=-0.0015&decision_vol=6.801&decision_tdist=0.0000&decision_rank=8,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,AMD,33.0,5,,1736865060.0,,,118.53233655,,,,decision_gap=0.0096&decision_vol=6.900&decision_tdist=0.0000&decision_rank=12,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,GOOGL,20.0,6,,1736865060.0,,,191.665785,,,,decision_gap=0.0029&decision_vol=6.786&decision_tdist=0.0000&decision_rank=14,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,UNH,7.0,7,,1736865060.0,,,539.92983,,,,decision_gap=-0.0034&decision_vol=4.739&decision_tdist=0.0000&decision_rank=20,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,NFLX,4.0,40,,1738161060.0,,,980.0547825,,,,decision_gap=0.0083&decision_vol=8.227&decision_tdist=0.0000&decision_rank=16,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,COST,4.0,9,,1736865060.0,,,924.311925,,,,decision_gap=-0.0010&decision_vol=5.546&decision_tdist=0.0000&decision_rank=36,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,META,6.0,43,,1738333860.0,,,691.6306425,,,,decision_gap=0.0063&decision_vol=9.181&decision_tdist=0.0000&decision_rank=5,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,NVDA,29.0,20,,1736865960.0,,,134.897415,,,,decision_gap=0.0119&decision_vol=3.900&decision_tdist=0.0000&decision_rank=2,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,TSLA,9.0,21,,1736868960.0,,,409.59459495,,,,decision_gap=0.0149&decision_vol=5.817&decision_tdist=0.0000&decision_rank=0,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,CRM,11.0,41,,1738161360.0,,,355.0424325,,,,decision_gap=-0.0139&decision_vol=2.772&decision_tdist=0.0000&decision_rank=33,,,,True
p_only_base,anchor,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,open,LLY,5.0,23,,1736951460.0,,,745.582605,,,,decision_gap=0.0010&decision_vol=7.684&decision_tdist=0.0000&decision_rank=25,,,,True
