variant_id,config_hash,result_path,order_id,symbol,quantity,price,status,time,last_fill_time,tag,type
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,29,MA,-7.0,546.2674,filled,1738074660.0,1738074660.0,,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,30,V,-13.0,334.503145,filled,1738074660.0,1738074660.0,,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,31,V,12.0,333.876855,filled,1738074660.0,1738074660.0,decision_gap=-0.0030&decision_vol=3.388&decision_tdist=0.0000&decision_rank=48,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,32,HD,9.0,420.79029,filled,1738074660.0,1738074660.0,decision_gap=-0.0105&decision_vol=4.867&decision_tdist=0.0000&decision_rank=70,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,33,MA,7.0,545.4726,filled,1738074660.0,1738074660.0,decision_gap=-0.0051&decision_vol=3.114&decision_tdist=0.0000&decision_rank=77,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,34,AMZN,-18.0,238.89606305,filled,1738161060.0,1738161060.0,,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,35,CRM,-12.0,358.582815,filled,1738161060.0,1738161060.0,,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,36,MSFT,-9.0,446.4685875,filled,1738161060.0,1738161060.0,,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,37,NFLX,-4.0,979.5102175,filled,1738161060.0,1738161060.0,,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,38,MSFT,9.0,443.0464125,filled,1738161060.0,1738161060.0,decision_gap=-0.0094&decision_vol=5.233&decision_tdist=0.0000&decision_rank=7,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,39,AMZN,17.0,237.99283695,filled,1738161060.0,1738161060.0,decision_gap=-0.0015&decision_vol=6.801&decision_tdist=0.0000&decision_rank=8,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,40,NFLX,4.0,980.0547825,filled,1738161060.0,1738161060.0,decision_gap=0.0083&decision_vol=8.227&decision_tdist=0.0000&decision_rank=16,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,41,CRM,11.0,355.0424325,filled,1738161360.0,1738161360.0,decision_gap=-0.0139&decision_vol=2.772&decision_tdist=0.0000&decision_rank=33,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,42,META,-6.0,690.6543575,filled,1738333860.0,1738333860.0,,
p_only_base,40c299e3a019,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30_smoke/p_only_base/jan2025_proof/backtests/2026-06-08_02-01-17/1552561025.json,43,META,6.0,691.6306425,filled,1738333860.0,1738333860.0,decision_gap=0.0063&decision_vol=9.181&decision_tdist=0.0000&decision_rank=5,
