scope,indicator,bucket,closed_trades,win_rate,win_rate_ci_low,win_rate_ci_high,avg_return_pct,median_return_pct,avg_duration_days,total_pnl,sample_confidence
family:risk_stack,decision_rank,rank_000_024,2580,0.49186046511627907,0.4725957346968499,0.5111493989057672,0.5312425394479002,-0.04018246994709,8.51755221791559,56422.37848430003,high
family:risk_stack,decision_rank,rank_025_049,805,0.4422360248447205,0.40828166221450135,0.4767390884491639,0.3964297300449208,-0.11876575303958,9.605322636300897,14956.142143800022,high
family:risk_stack,decision_rank,rank_050_099,1643,0.4211807668898357,0.397516802420207,0.4452124558156793,-0.06514442645501997,-0.14107153339389,5.979988757016298,-8020.122397300005,high
family:risk_stack,decision_rank,rank_100_249,480,0.5354166666666667,0.4906937397409276,0.5795771919028169,0.5429686628010894,0.12268038831110999,6.707067418981482,13758.932652200036,medium
family:scratch_grid,decision_rank,rank_000_024,2676,0.4947683109118087,0.47584593448582546,0.5137056867741774,0.5736109717621907,-0.036902326867615,7.843730536870952,58597.34433439998,high
family:scratch_grid,decision_rank,rank_025_049,974,0.46303901437371664,0.4319301453523393,0.49443829714386855,0.38293061834897524,-0.11054639385020999,8.221584103353866,13876.879310799992,high
family:scratch_grid,decision_rank,rank_050_099,1689,0.4399052693901717,0.41639522037977456,0.4636880667984234,0.059255669126529416,-0.10185141481684999,5.734022432734689,2471.7969101000244,high
family:scratch_grid,decision_rank,rank_100_249,587,0.4735945485519591,0.4335049131528133,0.5140275557864082,0.17317348700954083,-0.07826651988602,5.188552905546091,4228.916358200008,high
all,decision_gap_pct,gap_lt_-1pct,1811,0.451131971286582,0.4283411377294203,0.47412968947665657,-0.37813844130229546,-0.25920478112099,9.259887493097736,-39296.1393152,high
all,decision_gap_pct,gap_-1_to_0pct,7370,0.4853459972862958,0.47394607408667105,0.4967611892752107,0.5338659854556403,-0.0391717004972,9.242758273028794,159003.07238795003,high
all,decision_gap_pct,gap_0_to_1pct,8777,0.4959553378147431,0.4854992238220802,0.5064149908700514,0.6740774189207341,-0.008340095008929627,9.4211516368539,237239.94789850028,high
all,decision_gap_pct,gap_1_to_2pct,2556,0.5011737089201878,0.48180245087768386,0.520541444150821,1.135603867270754,0.030707385609570002,10.297237708659365,111775.51408374986,high
all,decision_gap_pct,gap_gt_2pct,179,0.46368715083798884,0.39216240655933654,0.5367377999582175,0.3275279635052013,-0.3852788390438,7.407258690254501,2666.4859710500077,medium
family:anchor,decision_gap_pct,gap_lt_-1pct,345,0.4782608695652174,0.4260792351710265,0.5309213060488279,-0.30128563477918996,-0.0795099295521,13.377133655394525,-4902.282097850002,medium
family:anchor,decision_gap_pct,gap_-1_to_0pct,1377,0.49818445896877267,0.47181701063672365,0.5245620092305804,0.6705312283354145,-0.013647625306250001,11.051102436859518,35948.45853155,high
family:anchor,decision_gap_pct,gap_0_to_1pct,1501,0.5023317788141239,0.47706334687772534,0.5275883054955212,0.718153507348224,0.01262127419177,9.441208176030793,41549.94056785005,high
family:anchor,decision_gap_pct,gap_1_to_2pct,451,0.516629711751663,0.47056335663534926,0.5624151572033145,1.4258980219331165,0.13906133883603,9.988813439270757,24126.948043399978,medium
family:entry_trigger,decision_gap_pct,gap_lt_-1pct,278,0.4460431654676259,0.3887403002028807,0.5048169319445382,-0.8147585052116095,-0.275540455989465,5.596422861710632,-10240.69740234999,medium
family:entry_trigger,decision_gap_pct,gap_-1_to_0pct,1399,0.46747676912080055,0.44145603023732516,0.493675633950563,0.35206617305815247,-0.09981601705002,7.772573167341752,18307.15398514999,high
family:entry_trigger,decision_gap_pct,gap_0_to_1pct,2279,0.4747696358051777,0.4543271161369429,0.4952970715421321,0.5271388390374622,-0.07332856697648,8.843710387109356,45055.74420615006,high
family:entry_trigger,decision_gap_pct,gap_1_to_2pct,669,0.49327354260089684,0.4555346765943375,0.5310892182421291,0.8672778982636675,-0.04332496345865,10.310979280850356,22678.873541399982,high
family:entry_trigger,decision_gap_pct,gap_gt_2pct,179,0.46368715083798884,0.39216240655933654,0.5367377999582175,0.3275279635052013,-0.3852788390438,7.407258690254501,2666.4859710500077,medium
family:exit_target,decision_gap_pct,gap_lt_-1pct,64,0.796875,0.6828613244878341,0.8772669743730419,4.792268013907255,1.62523485612826,33.56000434027778,11998.139519200002,low
family:exit_target,decision_gap_pct,gap_-1_to_0pct,267,0.7902621722846442,0.7374839630195494,0.8348062612296058,4.4376544169933,4.02005954982185,47.95064762796504,47508.533555300004,medium
family:exit_target,decision_gap_pct,gap_0_to_1pct,326,0.8220858895705522,0.7768913890080822,0.8597778485896013,4.4489519937451085,4.908835343794155,38.661650051124745,57465.001116800006,medium
family:exit_target,decision_gap_pct,gap_1_to_2pct,124,0.8064516129032258,0.7281401662946105,0.8663455097294692,4.7244156431483715,3.960791571454875,31.227850582437277,22934.31369189999,medium
family:risk_stack,decision_gap_pct,gap_lt_-1pct,545,0.4036697247706422,0.36329072439366383,0.44539724678053305,-0.9954951025382514,-0.31801884228729,8.519023955147809,-31023.347726499996,high
