variant_id,family,net_profit_pct,drawdown_pct,return_dd_ratio,total_orders,sharpe,closed_trades,open_or_censored_trades,win_rate,win_rate_ci_low,win_rate_ci_high,avg_return_pct,median_return_pct,avg_pnl,median_pnl,total_trade_pnl,profit_factor,avg_duration_days,median_duration_days,p90_duration_days,avg_decision_rank,median_decision_rank,avg_decision_gap_pct,avg_decision_vol,avg_decision_tdist,sample_confidence
buy_stop_005,entry_trigger,8.058,15.9,0.5067924528301887,1291,0.415,636,19,0.4748427672955975,0.4362998906446884,0.5136877312917408,0.578884997966862,-0.12717452973684001,22.883341918553462,-5.1214774999997985,14553.805460200003,1.589471661589799,10.55489495981831,6.0,19.946180555555557,38.21383647798742,26.0,0.7278459119496856,6.081556603773586,0.0,high
entry_near_025,entry_trigger,7.588,18.5,0.41016216216216217,2215,0.367,1095,23,0.4666666666666667,0.437285059058448,0.49628134396087714,0.31699743035457467,-0.07846410626087999,10.94889908684933,-3.229200000000233,11989.044500100017,1.2384319820150071,6.669463470319634,3.0,14.602083333333354,42.09041095890411,29.0,0.06026484018264841,6.077386301369863,0.0,high
buy_stop_010,entry_trigger,7.099,15.8,0.4493037974683544,1084,0.371,534,16,0.5037453183520599,0.4614627226923718,0.5459744112147115,0.6651286258723529,0.037069273270755,26.35819873099251,1.4861838000001626,14075.27812235,1.6149419038049508,11.495623959633793,5.998263888888889,19.998958333333334,41.69850187265918,28.0,1.2241198501872659,6.264825842696629,0.0,high
scratch_1d_low_mfe,scratch_grid,6.95,18.1,0.38397790055248615,1755,0.35,865,23,0.446242774566474,0.41342507227129277,0.47953585409319055,0.5284787413147461,-0.17340113788906,20.25172697265897,-7.240899999999897,17517.74383135001,1.5164323926856564,7.816630539499036,3.0,15.98472222222222,42.141040462427746,30.0,0.07781502890173411,5.754693641618497,0.0,high
buy_stop_flat,entry_trigger,6.838,17.2,0.3975581395348837,1483,0.343,730,23,0.4780821917808219,0.442055158062086,0.5143387013211924,0.54127498142495,-0.091735903804475,20.92897272363014,-3.833285000000018,15278.15008825,1.4716864459636467,9.117513318112632,5.0,16.0,37.69178082191781,23.0,0.4825616438356164,6.0493493150684925,0.0,high
scratch_tight_risk,anchor,6.053,17.6,0.3439204545454545,1385,0.306,680,23,0.5,0.46252442393932974,0.5374755760606702,0.5942312652265002,-0.00028620017332170455,22.466782870514706,0.0006750999999382834,15277.412351949999,1.5956439336962895,9.683537581699348,4.0,17.0,44.025,37.0,0.10325000000000001,5.664486764705883,0.0,high
scratch_base,anchor,5.996,18.3,0.3276502732240437,1870,0.299,922,23,0.46746203904555317,0.43545748225419667,0.4997366157426961,0.3314840588890802,-0.077423461072745,11.349637578091118,-3.243285000000249,10464.36584700001,1.2612591426968573,7.79403169438419,4.0,15.0,43.41106290672451,33.0,0.048915401301518446,5.777022776572668,0.0,high
resistance_loose_010,risk_stack,5.996,18.3,0.3276502732240437,1870,0.299,922,23,0.46746203904555317,0.43545748225419667,0.4997366157426961,0.3314840588890802,-0.077423461072745,11.349637578091118,-3.243285000000249,10464.36584700001,1.2612591426968573,7.79403169438419,4.0,15.0,43.41106290672451,33.0,0.048915401301518446,5.777022776572668,0.0,high
breadth_050_strict,risk_stack,5.996,18.3,0.3276502732240437,1870,0.299,922,23,0.46746203904555317,0.43545748225419667,0.4997366157426961,0.3314840588890802,-0.077423461072745,11.349637578091118,-3.243285000000249,10464.36584700001,1.2612591426968573,7.79403169438419,4.0,15.0,43.41106290672451,33.0,0.048915401301518446,5.777022776572668,0.0,high
scratch_5d_wide_band,scratch_grid,5.936,18.1,0.32795580110497236,1916,0.301,945,23,0.491005291005291,0.45923203419061714,0.5228513820508291,0.40696305527002413,-0.04530995332494,15.261076918941804,-1.726999999999805,14421.717688400004,1.5036552081257193,6.995363021751911,3.0,13.0,48.22751322751323,33.0,0.01799999999999999,5.740010582010582,0.0,high
