backtest_id,symbol,entry_dt,year,decision_score,cond_0,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6,cond_7,decision_gap,decision_vol,decision_rank,decision_tdist,exit_reason,censored,context_status,ret,pnl,m2m_ret,m2m_source
627cdd7298c83d8a5e92ccb2de9781a4,MELI,2024-01-12T20:50:00+00:00,2024,7,True,True,True,True,True,True,False,True,0.0409,2.547,195,0.0,stop_market,False,OK,-0.05590653642385749,-556.39248,,
627cdd7298c83d8a5e92ccb2de9781a4,IQV,2024-02-22T20:50:00+00:00,2024,8,True,True,True,True,True,True,True,True,0.0435,1.497,385,0.0,stop_market,False,OK,-0.09402339861546763,-1071.5973699999995,,
627cdd7298c83d8a5e92ccb2de9781a4,LRCX,2024-01-18T14:31:00+00:00,2024,7,True,True,True,True,True,True,False,True,0.0321,1.529,118,0.0,stop_market,False,OK,-0.04868208732697196,-454.1971799999992,,
627cdd7298c83d8a5e92ccb2de9781a4,SE,2024-04-24T13:32:00+00:00,2024,7,True,True,True,False,True,True,True,True,0.035,1.765,307,0.0,stop_market,False,OK,-0.14482618720082055,-1582.654099999999,,
627cdd7298c83d8a5e92ccb2de9781a4,TMDX,2024-08-06T14:02:00+00:00,2024,7,True,True,True,True,True,False,True,True,0.0324,1.054,808,0.0,stop_market,False,OK,-0.005228292777105244,-57.0275550000014,,
627cdd7298c83d8a5e92ccb2de9781a4,FAS,2024-08-14T19:51:00+00:00,2024,7,True,True,True,True,True,True,False,True,0.0378,4.481,877,0.0,stop_market,False,OK,-0.029982473519166532,-348.42994499999935,,
627cdd7298c83d8a5e92ccb2de9781a4,AMAT,2024-01-18T14:31:00+00:00,2024,7,True,True,True,True,True,True,False,True,0.0356,2.257,97,0.0,censored_open,True,OK,0.02264100009422782,223.2362699999997,0.02264100009422782,local_parquet
627cdd7298c83d8a5e92ccb2de9781a4,AVGO,2024-01-18T20:50:00+00:00,2024,8,True,True,True,True,True,True,True,True,0.036,1.61,15,0.0,censored_open,True,OK,-0.7974255132025746,-7299.1338,-0.7974255132025746,local_parquet
627cdd7298c83d8a5e92ccb2de9781a4,ISRG,2024-01-18T14:31:00+00:00,2024,8,True,True,True,True,True,True,True,True,0.0355,5.005,148,0.0,censored_open,True,OK,0.40055238883088584,3881.38907,0.40055238883088584,local_parquet
627cdd7298c83d8a5e92ccb2de9781a4,KLAC,2024-01-18T14:31:00+00:00,2024,7,True,True,True,True,True,True,False,True,0.0382,1.666,198,0.0,censored_open,True,OK,0.07769181492587603,726.6882000000005,0.07769181492587603,local_parquet
627cdd7298c83d8a5e92ccb2de9781a4,META,2024-01-10T20:50:00+00:00,2024,7,True,True,True,True,True,True,False,True,0.0347,1.062,9,0.0,censored_open,True,OK,0.582332676696574,5602.871949999998,0.582332676696574,local_parquet
627cdd7298c83d8a5e92ccb2de9781a4,NFLX,2024-01-11T14:31:00+00:00,2024,7,True,True,True,True,True,True,False,True,0.0379,4.733,27,0.0,censored_open,True,OK,0.793442251231954,7885.8356,0.793442251231954,local_parquet
627cdd7298c83d8a5e92ccb2de9781a4,PLNT,2024-08-08T19:50:00+00:00,2024,8,True,True,True,True,True,True,True,True,0.0329,1.178,769,0.0,censored_open,True,OK,0.2630108285168379,2944.496555,0.2630108285168379,local_parquet
627cdd7298c83d8a5e92ccb2de9781a4,TQQQ,2024-01-18T14:34:00+00:00,2024,7,True,True,True,True,True,True,False,True,0.0303,1.087,12,0.0,censored_open,True,OK,0.5524236311369246,5461.97882,0.5524236311369246,local_parquet
